ALCOHOL,TEMP_AMB,TEMP_FAC_MAX,TEMP_FAC_MIN,EYES,LABEL
0.7,25.95,25.99,17.17,5.70088,0
0,25.92,26.18,13.19,5.70088,0
0.05,26.45,27.65,16.22,6.5192,0
0.04,26.37,27.17,18.43,6.5192,0
0.4,26.22,26.19,17.52,8.51469,0
0,25.71,27.17,14.64,8.86002,0
0.03,25.83,28.21,14.14,8.86002,0
0.61,26.29,25.88,15.48,9.5109,0
0.61,27.2,24.79,17.87,8.30054,0
0.4,26.45,27.19,19.18,8.51469,0
0,25.82,27.22,17.05,6.5192,0
0.07,25.93,26.76,16.31,10.7005,0
0,26.23,27.56,16.21,7.90569,0
0.12,25.92,27.18,17.28,8.30054,0
0,26.5,28.87,14.57,6.5192,0
0,26.42,28.6,15.26,6.5192,0
0.42,26.37,27.17,17.21,6.67083,0
0,25.98,26.18,16.28,11.5109,0
0,26.32,26.19,15.55,5.70088,0
0,25.86,26.18,13.71,5.70088,0
0.42,26.34,27.25,17.08,7.51665,0
0,26.13,27.37,15.02,8.5109,0
0,25.82,27.29,16.77,8.0168,0
0.42,25.82,28.53,14.82,8.1242,0
0,26.53,27.79,13.86,7.64853,0
0,24.23,27.67,17.16,5.04152,0
0.11,25.9,27.92,15.04,10.7935,0
0,26.43,28.29,17.32,8.51469,0
0.42,26.45,27.9,19.67,8.63134,0
0,26.3,27.77,15.85,5.70088,0
0.61,25.99,27.85,15.82,5.04152,0
0,25.92,27.47,16.31,6.67083,0
0.01,25.87,27.56,17.28,8.63134,0
0,25.81,27.15,16.88,6.67083,0
0,26.37,27.42,18.94,6.67083,0
0.8,24.81,27.7,18.33,7.51665,0
0,24.93,29.89,17.47,7.51665,0
0.02,24.93,27.11,17.24,9.1224,0
0,25.96,27.64,17.59,9.1242,0
0.45,27.12,30.8,17.24,8.86002,0
0,27.16,27.5,18.53,8.63134,0
0.12,25.95,26.49,17.53,5.70088,0
0,26.58,29.88,17.1,8.7935,0
0,27.28,26.86,18.02,8.51469,0
0.02,25.82,26.95,16.72,7.64853,0
0,25.89,27.85,14.55,6.04152,0
0.22,26.3,27.76,15.23,5.70088,0
0,25.33,27.07,15.14,8.86002,0
0,26.35,28.93,16.25,7.64853,0
0.08,27.16,28.63,15.84,5.70088,0
0.14,27.27,28.05,16.17,8.1242,0
0,27.23,27.66,15.85,5.70088,0
0.78,25.89,27.24,16.28,7.6485,0
0,26.32,28.37,16.2,7.6485,0
0.05,25.45,27.73,14.83,12.3491,0
0,26.43,28.59,16.37,10.1242,0
1.1,24.92,27.85,13.83,8.70088,0
0.23,26.36,28.87,13.31,8.04152,0
0.04,25.83,26.51,13.17,6.04152,0
0,25.87,26.3,13.2,6.04152,0
0.1,25.98,27.13,12.08,5.70088,0
0,26.54,26.43,12.38,6.04152,0
0.1,26.65,25.62,9.46,7.648531,0
0,26.67,26.86,10.61,5.14782,0
0.1,27.21,27.27,11.86,5.04152,0
0,27.34,27.27,11.7,5.04152,0
0,27.23,27.68,12.17,4.30116,0
0.02,28.02,27.52,12.5,7.64853,0
0,26.13,26.94,10.37,5.70088,0
0.52,27.23,26.57,12.26,5.52268,0
1.59,28.7,28.85,15.78,8.7005,1
1.62,28.89,28.94,12.36,8.7005,1
1.39,28.65,28.69,17.35,8.005,1
1.45,28.96,28.32,11.94,9.92472,1
1.82,28.56,28.07,15.84,9.92472,1
2.15,28.09,28.85,15.16,9.92472,1
1.64,28.59,28.32,16.08,8.74643,1
1.74,28.45,28.64,17.14,8.74643,1
1.6,29.61,28.65,12.25,9.19239,1
1.64,29.17,28.99,16.26,10.5119,1
1.05,26.92,28.58,16.24,8.92472,1
1.58,26.84,27.83,13.86,9.19239,1
1.79,26.82,28.57,14.56,8.82344,1
1.8,26.98,28.8,14.26,9.19239,1
1.64,26.17,28.41,18.25,10.5119,1
1.86,26.89,27.89,14.36,9.82344,1
1.98,26.52,27.82,15.23,9.61769,1
1.54,28.78,27.13,18.26,8.27647,1
1.67,28.96,28.4,19.26,8.27647,1
1.9,28.8,28.69,17.26,9.82344,1
1.1,28.89,28.32,16.28,9.82344,1
2.09,28.05,28.68,16.28,9.1242,1
